Nazwa|Cena|Miasto|Dzielnica|Inwestycja|Pow. całkowita|Rynek|Rok budowy|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Piętro|Liczba pięter|Liczba poziomów mieszkania|Liczba sypialni|Balkon|Taras|Rodzaj umowy|Typ budynku|Materiał budowlany|Ogrzewanie|Pow. użytkowa|Stan nieruchomości|Wysokość wnętrza|Typ kuchni|Liczba łazienek|łazienka razem z WC|Pow. loggii|Forma własności|Stan budynku|Pow. łazienki|Pow. balkonu|Dostępne od|Cena do negocjacji|Pow. tarasu|Pow. ogródka|Stolarka okienna|Typ domu|Dodatkowe koszty|Lokalizacja garażu|Kominek|Typ nieruchomości
Zaruskiego 3 pokoje z ogródkiem|875 000 zł|Gdynia, |Chwarzno-Wiczlino, ||69,69 m²|Wtórny|2014|30.03.2024|30.03.2024|morizon-TC924017|66|0||3||2||Tak|Na wyłączność|Apartamentowiec|Silikat|Co Miejskie|69,60 m²|||||||||||01.03.2024|||||||||
Wysoki standard w centrum, blisko morza|997 000 zł|Gdynia, |Śródmieście, ||52,44 m²|Wtórny|1950|30.03.2024|06.04.2024|morizon-TC518730|56|0|5/5|5||||||Kamienica|Cegła|Co Miejskie|||||||||||||||||||||
Mieszkanie z ogródkiem, garażem, piwnicą, strychem|1 290 000 zł|Gdynia, |Wzgórze Św. Maksymiliana, ||139,50 m²|Wtórny|1990|30.03.2024|03.04.2024|morizon-427312|64|0||2|1|6||Tak|Na wyłączność|Kamienica|Pustak|Gazowe||||||||||||06.05.2024|||||||||
DZIEŃ OTWARTY JUŻ 27 KWIETNIA|1 320 000 zł|Gdynia, |Mały Kack, ||92,84 m²|Wtórny|2013|09.04.2024|10.04.2024|morizon-29664/3685/OMS|31|0||6|||||Na wyłączność|APARTAMENTOWIEC|PUSTAK|C.O. Z SIECI MIEJSKIEJ||DOBRY|270 cm|ANEKS KUCHENNY|1|||WŁASNOŚĆ||||10.05.2024|||||||||
Mały Kack, 4 Pokoje, Wysoki standard|1 499 000 zł|Gdynia, |Mały Kack||83,78 m²|Wtórny|2003|26.02.2024|03.03.2024|morizon-681031|111|0||3||3|Tak||Na wyłączność|Dom Wielorodzinny||Co Miejskie|77,79 m²|||||||||||25.02.2024|||||||||
Prestiżowy apartament z panoramicznym widokiem|1 525 000 zł|Gdynia, |Redłowo, ||74 m²|Wtórny|2013|18.03.2024|21.03.2024|morizon-PN338421|125|0|12/16|16||1|||Na wyłączność|Apartamentowiec|Konstrukcja mieszana|Co Miejskie||||||||||||18.03.2024|||||||||
Rodzinne mieszkanie w otulinie lasu- Wielki Kack|1 790 000 zł|Gdynia, |Wielki Kack, ||150 m²|Wtórny|2018|22.03.2024|25.03.2024|morizon-DH659510|60|0||3|3|4|Tak|Tak||Blok Mieszkalny|Silikat|Co Własne|||||||||||||||||||||
Minimalistyczne mieszkanie w sercu Gdyni|1 849 000 zł|Gdynia, |Śródmieście, ||80 m²|Wtórny|2015|05.04.2024|05.04.2024|morizon-WH331353|22|0|1/7|7|1||Tak|||Apartamentowiec|Cegła|Co Miejskie|||||||||||||||||||||
Opis nieruchomości|420 000 zł|Gdynia, |Grabówek, ||44,81 m²|Wtórny|1953|27.03.2024|27.03.2024|morizon-PH695656|125|0||1|||||Na wyłączność|Blok Mieszkalny|Cegła|Elektryczne|||||||||||||||||||||
2 pok. mieszkanie 46,5m2, Kartuska, Chylonia|459 000 zł|Gdynia M., |Gdynia, ||46,50 m²|Wtórny|1975|11.04.2024|11.04.2024|morizon-YNK-MS-2305|13|0|3/4|4|||Tak||Na wyłączność|Blok||Miejskie||Do remontu||Oddzielna|1|Tak||Własność||||||||PCV|||||
NOWOŚĆ!!! 2 pokoje Osiedle Wiczlino Ogród|629 000 zł|Gdynia, |Chwarzno-Wiczlino, ||53,40 m²|Wtórny|2011|30.03.2024|08.04.2024|morizon-PH135485|87|0|2/4|4||1|Tak||Na wyłączność|||Co Miejskie|||||||||||||||||||||
Mieszkanie Gdynia Śródmieście Abrahama 86|787 000 zł|Gdynia, |Śródmieście, ||51,80 m²|Wtórny|1954|10.04.2024|11.04.2024|morizon-29718/3685/OMS|25|0|3/5|5|||Tak||Na wyłączność|NISKI BLOK|CEGŁA|C.O. Z SIECI MIEJSKIEJ||WYSOKI STANDARD|275 cm|Z OKNEM|1|||WŁASNOŚĆ||||30.04.2024|||||||||
Mieszkanie w doskonałej lokalizacji|799 000 zł|Gdynia, |Grabówek, ||65,60 m²|Wtórny|1979|29.03.2024|02.04.2024|morizon-PH970531|56|0|9/11|11|||Tak||Na wyłączność|Blok Mieszkalny|Wielka płyta|Co Miejskie|||||||||||||||||||||
Ponad 135m2 z dwoma balkonami gotowe do wejścia|898 000 zł|Gdynia, |Dąbrowa||135,90 m²|Wtórny|1994|09.04.2024|10.04.2024|morizon-419582|30|0|4/5|5||4|Tak|||Blok Mieszkalny|Cegła|Co Miejskie||||||||||||09.04.2024|||||||||
Bdb stan, po remoncie, miejsca do parkowania|999 000 zł|Gdynia, |Śródmieście, ||72,13 m²|Wtórny||06.04.2024|06.04.2024|morizon-29657/3685/OMS|48|0|1/4|4|||||Na wyłączność|KAMIENICA|CEGŁA|C.O. GAZOWE||WYSOKI STANDARD|290 cm|Z OKNEM||||WŁASNOŚĆ|||||||||||||
"Komfortowe mieszkanie | 74 m2 I Las w pobliżu"|1 199 000 zł|Gdynia, |Mały Kack, ||74 m²|Wtórny|2012|06.03.2024|14.03.2024|morizon-00953642|140|0||6|||||Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
"Wyjątkowy Apartament | Silver House | Gdynia"|1 383 000 zł|Gdynia, |Śródmieście, ||55,32 m²|Wtórny|2015|02.04.2024|11.04.2024|morizon-ON975320|31|0|2/7|7|||Tak||Na wyłączność|Apartamentowiec|Inne|Co Miejskie||||||||||||29.03.2024|||||||||
Mieszkanie z widokiem na zatokę Gdańską|520 000 zł|Gdynia|||53,65 m²|Wtórny|1980|31.01.2024|22.03.2024|morizon-2182/14016/OMS|288|0|8/10|10|||Tak||Na wyłączność|WIEŻOWIEC|WIELKA PŁYTA|C.O. Z SIECI MIEJSKIEJ||DOBRY||ODDZIELNA|1|||SPÓŁDZIELCZE WŁASNOŚCIOWE||||15.03.2024|||||||||
3 pok. mieszkanie 53m2, Gdynia Leszczynki|580 000 zł|Gdynia M., |Gdynia, ||53 m²|Wtórny||21.02.2024|21.02.2024|morizon-YNK-MS-2265|243|0||4|||Tak||Na wyłączność|Blok||Miejskie||Do wprowadzenia||Oddzielna|1|Tak||SPÓŁDZIELCZE WŁASNOŚCIOWE Z KW||||||||PCV|||||
3 PKOJOWE MIESZKANIE W CENTRUM GDYNI|590 000 zł|Gdynia, |Śródmieście, ||47,85 m²|Wtórny|1962|08.04.2024|08.04.2024|morizon-PH126264|34|0|5/10|10||1||||||Co Miejskie|||||||||||||||||||||
Mieszkanie 2 minuty od przystanku autobusowego|629 000 zł|Gdynia, |Pustki Cisowskie, ||79,73 m²|Wtórny|1985|06.04.2024|06.04.2024|morizon-HEX351252|27|0|2/3|3|1|3|||Na wyłączność|Blok Mieszkalny|Wielka płyta|Co Miejskie|||||||||||||||||||||
2 pokoje/duży balkon/miejsce postojowe/Wielki Kack|668 000 zł|Gdynia, |Wielki Kack||62,72 m²|Wtórny|2012|05.04.2024|05.04.2024|morizon-DH563858|19|0|2/4|4||1|Tak|||Blok Mieszkalny|Silikat|Co Miejskie|53,12 m²||||||||||||||||||||
Niesamowity widok, świetna lokalizacja|899 000 zł|Gdynia, |Żelazna||64,08 m²|Wtórny|2020|07.02.2024|14.02.2024|morizon-PN605088|105|0|8/8|8|1|3|Tak|Tak||Blok Mieszkalny|Konstrukcja mieszana|Co Miejskie|||||||||||||||||||||
Dwupoziomowe mieszkanie z widokiem na morze|1 075 000 zł|Gdynia, |Oksywie, ||92 m²|Wtórny|2022|26.03.2024|26.03.2024|morizon-339/9733/OMS|66|0|3/3|3||||||NISKI BLOK|PUSTAK|C.O. Z SIECI MIEJSKIEJ||||ANEKS KUCHENNY|2|||||||27.03.2024|||||||||
Dwupoziomowe mieszkanie z widokiem na morze|1 100 000 zł|Gdynia, |Oksywie, ||77,65 m²|Wtórny|2022|09.04.2024|08.04.2024|morizon-GB06044|24|0|3/3|3|2||Tak|Nie||||C.o. miejskie||||Brak|2|||Własność|Bardzo dobry||||||||||||
Apartament z ogrodem dla rodziny w Willa Park|1 130 000 zł|Gdynia, |Dąbrowa, ||75,43 m²|Wtórny|2019|02.04.2024|12.04.2024|morizon-DH451935|46|0||1|||Nie|Tak|Na wyłączność|Apartamentowiec||Co Własne|||||||||||||||||||||
Opis nieruchomości|574 751 zł|Gdynia, |Cisowa, |ZBOŻOWA|51,18 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.18|686|29|||||||||||||||||||||||||||||||
Mieszkanie dla dużej rodziny - ogród, las, garaż|1 790 000 zł|Gdynia, |Kacze Buki, ||147,98 m²|Wtórny|2018|14.03.2024|14.03.2024|morizon-NN422487|49|0||2|3||Tak|Tak||Blok Mieszkalny||Gazowe|||||||||||||||||||||
Art Deco - Taraz na dachu / Jacuzzi|2 880 000 zł|Gdynia, |Żołnierzy I Armii Wojska Polskiego||98 m²|Wtórny|2015|25.03.2024|27.03.2024|morizon-8882/8976/OMS|35|0|5/5|5|||||Na wyłączność|APARTAMENTOWIEC||C.O. Z SIECI MIEJSKIEJ||WYSOKI STANDARD||OTWARTA|2|||WŁASNOŚĆ|||||||||||||
3 pok z pięknym widokiem, idealne pod inwestycję|429 000 zł|Gdynia, |Obłuże, ||45,15 m²|Wtórny|1980|08.04.2024|09.04.2024|morizon-TY971828|51|0|4/10|10|||Tak||Na wyłączność|Wieżowiec|Wielka płyta|Co Miejskie|||||||||||||||||||||
3 pokoje z pięknym widokiem! Winda|529 000 zł|Gdynia, |Chylonia, ||54 m²|Wtórny|1970|09.04.2024|11.04.2024|morizon-2241/8984/OMS|30|0|9/10|10|||||||WIELKA PŁYTA|C.O. Z SIECI MIEJSKIEJ||DO REMONTU|250 cm|ANEKS KUCHENNY||||SPÓŁDZIELCZE WŁASNOŚCIOWE||||08.04.2024|||||||||
"Invest Komfort| Własny park| oddzielna kuchnia"|599 000 zł|Gdynia, |Obłuże, ||48 m²|Wtórny|2015|02.04.2024|08.04.2024|morizon-WH471734|38|0|6/8|8|||||Na wyłączność|Blok Mieszkalny|Konstrukcja mieszana|Co Miejskie|||||||||||||||||||||
Mieszkanie po remoncie - blisko morza i centrum|630 000 zł|Gdynia, |Redłowo, ||43,50 m²|Wtórny|1966|09.04.2024|10.04.2024|morizon-PN529115|35|0|3/4|4|1|1|||Na wyłączność|Blok Mieszkalny|Konstrukcja mieszana|Co Miejskie|||||||||||||||||||||
Sloneczne 3-pokoje Z Widokiem Na Zieleń - Wiczlino|700 000 zł|Gdynia, |Wiczlino, ||54,50 m²|Wtórny|2017|29.03.2024|05.04.2024|morizon-gratka-34038085|136|0|1/3|3|||Tak|||Blok|Pustak|||Wysoki standard||Aneks||Nie||Własność|||||||||||||
Słoneczne 3 pokoje z garażem blisko morza|740 000 zł|Gdynia, |Wzgórze Św. Maksymiliana, ||61 m²|Wtórny|1962|04.04.2024|11.04.2024|morizon-OR016331|81|0|2/4|4|||Nie|Nie||||C.o. miejskie||||Osobna|1|Nie||Własność|Do odświeżenia||||||||||||
Mieszkanie do wprowadzenia + garaż w cenie|850 000 zł|Gdynia, |Witomino-Leśniczówka||68,03 m²|Wtórny|2001|29.03.2024|11.04.2024|morizon-JGN656661|65|0|1/2|2|2|2|Tak|||Dom Wielorodzinny||Co Własne|59,21 m²||||||||||||||||||||
PRZYTULNE MIESZKANIE PO REMONCIE! OD ZARAZ|509 000 zł|Gdynia, |Pogórze, ||58,53 m²|Wtórny|1980|28.03.2024|12.04.2024|morizon-PAN771015|64|0|4/4|4||2|Tak|Nie||Blok Mieszkalny|Wielka płyta|Co Miejskie|||||||||||||||||||||
"2 Pokoje Shiraz Park | Ogródek | 2x Parking"|580 000 zł|Gdynia, |Pogórze, ||44,51 m²|Wtórny|2015|11.04.2024|11.04.2024|morizon-PH770623|22|0||3|||||Na wyłączność|Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
Okazja w centrum Gdyni-ogrzewanie miejskie-3 pok|590 000 zł|Gdynia, |Śródmieście, ||46 m²|Wtórny|1962|08.04.2024|08.04.2024|morizon-CP378431|42|0|5/10|10||2|Tak|||Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
3 pokoje z dużym tarasem|635 000 zł|Gdynia, |Pogórze, ||53 m²|Wtórny|2017|19.03.2024|02.04.2024|morizon-WH844979|98|0|3/4|4|1||Tak|||Blok Mieszkalny|Pustak|Co Miejskie|||||||||||||||||||||
**3 Pokoje Przy Skm dla Rodziny lub pod Wynajem**|819 000 zł|Gdynia, |Redłowo, ||77,64 m²|Wtórny|1950|09.04.2024|10.04.2024|morizon-EP966024|26|0||2|1|2|||Na wyłączność|Kamienica|Cegła|Co Własne||||||||||||09.04.2024|||||||||
"Gdynia Centrum | 5 min Skwer Kościuszki | Od zaraz"|865 000 zł|Gdynia, |Śródmieście, ||63 m²|Wtórny|1965|25.03.2024|02.04.2024|morizon-WH308467|172|0|2/6|6|1||Tak||Na wyłączność|Kamienica|Cegła|Co Miejskie||||||||||||01.04.2024|||||||||
Mieszkanie - Gdynia Śródmieście|975 000 zł|Gdynia, |Śródmieście, ||39,43 m²|Wtórny|2023|09.04.2024|08.04.2024|morizon-OR016338|32|0|4/6|6|||Tak|Nie||||C.o. miejskie||||Brak|1|Nie||Własność|Deweloperski||3 m²||||||||||
3 pokoje w bezczynszowej kamienicy|1 200 000 zł|Gdynia, |Mały Kack, ||76,89 m²|Wtórny|1950|05.04.2024|05.04.2024|morizon-CP27525813|32|0||2|1|2|||Na wyłączność|Kamienica|Cegła|Gazowe|||||||||||||||||||||
GDYNIA WIELKI KACK Wykończony 3 pokojowy apartament + ogródek|1 245 933 zł|Gdynia, |Wielki Kack, ||83,34 m²|Pierwotny|2022|05.04.2024|05.04.2024|morizon-22|21|0|||1||Nie|Tak|Na wyłączność|Kamienica||Gazowe|79,93 m²|Wysoki standard|265 cm|Aneks|1|Tak||Własność|Bardzo dobry|8,34 m²||08.04.2024||15 m²|133 m²||||||
Przestronny apartament w samym centrum Gdyni|1 299 000 zł|Gdynia, |Śródmieście, ||87,04 m²|Wtórny|1920|05.03.2024|05.03.2024|morizon-PH133863|112|0|4/4|4|||||Na wyłączność|||Gazowe|||||||||||||||||||||
Przestronne 4 pokoje w Redłowie - dla rodziny|1 570 000 zł|Gdynia, |Redłowo, ||110,86 m²|Wtórny|2006|03.04.2024|04.04.2024|morizon-CP27480610|28|0|6/6|6|1|3|Tak||Na wyłączność|Apartamentowiec|Konstrukcja mieszana|Co Miejskie||||||||||||28.03.2024|||||||||
2 poziomowe mieszkanie 5 min od morza|1 950 000 zł|Gdynia, |Orłowo, ||127 m²|Wtórny|2004|06.03.2024|13.03.2024|morizon-811709|179|0|2/2|2||2|Tak|Tak|Na wyłączność||||||||||||||||||||||||
Sprzedaż 2-pokoje, Gdynia - Witomino, ul. Widna|465 000 zł|Gdynia, |Witomino-Radiostacja, ||34,80 m²|Wtórny|1980|03.04.2024|05.04.2024|morizon-DH852621|50|0|4/4|4|1|1|Nie|||Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
Opis nieruchomości|530 000 zł|Gdynia, |Oksywie, ||52,70 m²|Wtórny|1980|19.02.2024|20.02.2024|morizon-PH538592|167|0|2/10|10|||Tak||Na wyłączność|Wieżowiec|Wielka płyta|Co Miejskie|||||||||||||||||||||
2 pokoje w Shiraz Park z widokiem na morze|549 000 zł|Gdynia, |Pogórze, ||41,95 m²|Wtórny|2015|23.03.2024|31.03.2024|morizon-PH449253|165|0|2/3|3|||Tak||Na wyłączność|Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
3 pok. Generalny remont. Piękny widok. Las|549 000 zł|Gdynia, |Obłuże, ||47 m²|Wtórny|1975|20.03.2024|03.04.2024|morizon-DH387559|78|0|10/10|10|||Tak|||Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
Chylonia 3 pokoje balkon piwnica piękny widok|550 000 zł|Gdynia, |Chylonia, ||48 m²|Wtórny||09.04.2024|12.04.2024|morizon-511985|31|0|3/10|10||2|Tak|||Blok Mieszkalny|Wielka płyta|Co Miejskie||||||||||||09.04.2024|||||||||
3 pok. - przestronne i słoneczne|630 000 zł|Gdynia, |Obłuże, ||63,40 m²|Wtórny|1972|07.03.2024|07.03.2024|morizon-720093|91|0|1/4|4||2|Tak||Na wyłączność|||||||||||||||01.04.2024|||||||||
Po remoncie 3 pok. mieszkanie. Blisko do morza|649 000 zł|Gdynia, |Pogórze, ||63 m²|Wtórny|1985|03.04.2024|03.04.2024|morizon-DH984270|32|0||4|||Tak|||Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
Nowe osiedle, winda, hala garażowa|744 000 zł|Gdynia, |Pogórze, ||76,30 m²|Pierwotny|2024|20.03.2024|04.04.2024|morizon-DH241692|83|0|1/3|3||2|Tak|||Blok Mieszkalny||Co Miejskie||||||||||||27.03.2024|||||||||
"DUŻY BALKON | DO ZAMIESZKANIA | 15MIN CENTRUM"|759 000 zł|Gdynia, |Wiczlino, ||55,57 m²|Wtórny|2017|26.03.2024|26.03.2024|morizon-8948/8976/OMS|52|0|1/3|3|||||Na wyłączność|NISKI BLOK||C.O. Z SIECI MIEJSKIEJ||WYSOKI STANDARD||||||WŁASNOŚĆ|||||||||||||
Słoneczny apartament o pięknym układzie|951 836 zł|Gdynia, |Śródmieście, ||54,94 m²|Pierwotny|2023|01.04.2024|01.04.2024|morizon-EC617223|36|0|3/6|6||1||||Apartamentowiec||Co Miejskie|||||||||||||||||||||
4 POKOJOWE MIESZKANIE W GDYNI|1 099 000 zł|Gdynia, |Chwarzno, ||86,91 m²|Wtórny|2015|08.04.2024|08.04.2024|morizon-PH242156|23|0|2/4|4||3|Tak||Na wyłączność|||Inne|||||||||||||||||||||
Zamieszkaj lub zainwestuj - idealny pod inwestycję|1 188 096 zł|Gdynia, |Śródmieście, ||87,04 m²|Pierwotny|2023|05.03.2024|04.03.2024|morizon-EC735582|132|0|2/7|7||3|Tak|||Apartamentowiec||Co Miejskie|||||||||||||||||||||
Apartament z pięknym widokiem na morze|1 380 000 zł|Gdynia, |św. Piotra||50 m²|Wtórny|2023|11.03.2024|27.03.2024|morizon-104/14376/OMS|90|0|7/17|17||||||APARTAMENTOWIEC|BETON|C.O. Z SIECI MIEJSKIEJ||DO WYKOŃCZENIA|270 cm|ANEKS KUCHENNY|1|||WŁASNOŚĆ|||||||||||||
105 m2 w samym centrum - jako mieszkanie lub biuro|1 475 000 zł|Gdynia, |Śródmieście, ||105,30 m²|Wtórny|2001|27.03.2024|05.04.2024|morizon-DH618750|70|0|2/5|5|||Tak|||Kamienica||Co Miejskie|||||||||||||||||||||
Opis nieruchomości|531 976 zł|Gdynia, |Cisowa, |ZBOŻOWA|45,86 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.71|492|31|||||||||||||||||||||||||||||||
Sea Towers, taras, hala, komórka|2 275 000 zł|Gdynia M., |Gdynia, ||76 m²|Wtórny|2009|20.09.2023|20.09.2023|morizon-DFI-MS-1365|203|0|2/28|28||2||Tak||Apartamentowiec||Centralne||Bardzo dobry|285 cm|Aneks kuchenny|1||||||25 m²|||||Nowe drewniane||1185|||
Opis nieruchomości|467 450 zł|Gdynia, |Cisowa, |ZBOŻOWA|40,19 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.13|293|0|||||||||||||||||||||||||||||||
Opis nieruchomości|473 498 zł|Gdynia, |Cisowa, |ZBOŻOWA|40,71 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.9|59|0|||||||||||||||||||||||||||||||
3 pokoje, winda, parking, widok na port i las|479 000 zł|Gdynia, |Leszczynki, ||45,64 m²|Wtórny|1976|04.04.2024|12.04.2024|morizon-PH576248|65|0|9/10|10|||Tak||Na wyłączność|||Co Miejskie|||||||||||||||||||||
Opis nieruchomości|487 464 zł|Gdynia, |Cisowa, |ZBOŻOWA|40,18 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.29|51|0|||||||||||||||||||||||||||||||
Opis nieruchomości|490 063 zł|Gdynia, |Cisowa, |ZBOŻOWA|40,73 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.25|43|0|||||||||||||||||||||||||||||||
Opis nieruchomości|495 540 zł|Gdynia, |Cisowa, |ZBOŻOWA|40,18 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.37|40|0|||||||||||||||||||||||||||||||
Opis nieruchomości|498 250 zł|Gdynia, |Cisowa, |ZBOŻOWA|40,73 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.33|33|0|||||||||||||||||||||||||||||||
Opis nieruchomości|501 380 zł|Gdynia, |Cisowa, |ZBOŻOWA|47,30 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.4|76|0|||||||||||||||||||||||||||||||
Opis nieruchomości|503 510 zł|Gdynia, |Cisowa, |ZBOŻOWA|41,16 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.59|29|0|||||||||||||||||||||||||||||||
Opis nieruchomości|504 460 zł|Gdynia, |Cisowa, |ZBOŻOWA|45,86 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.55|37|0|||||||||||||||||||||||||||||||
Opis nieruchomości|510 496 zł|Gdynia, |Cisowa, |ZBOŻOWA|48,16 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.5|63|0|||||||||||||||||||||||||||||||
Opis nieruchomości|521 672 zł|Gdynia, |Cisowa, |ZBOŻOWA|47,30 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.8|32|0|||||||||||||||||||||||||||||||
Opis nieruchomości|522 804 zł|Gdynia, |Cisowa, |ZBOŻOWA|45,86 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.63|20|0|||||||||||||||||||||||||||||||
Blisko lasu-świetna lokalizacja-spokojna okolica|525 000 zł|Gdynia, |Witomino-Leśniczówka, ||38 m²|Wtórny||09.04.2024|09.04.2024|morizon-CP287035|38|0|3/11|11||1|Tak|||Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
Opis nieruchomości|525 540 zł|Gdynia, |Cisowa, |ZBOŻOWA|46,10 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.62|22|0|||||||||||||||||||||||||||||||
Opis nieruchomości|525 685 zł|Gdynia, |Cisowa, |ZBOŻOWA|48,10 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.49|25|0|||||||||||||||||||||||||||||||
Opis nieruchomości|536 189 zł|Gdynia, |Cisowa, |ZBOŻOWA|46,10 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.70|31|0|||||||||||||||||||||||||||||||
Opis nieruchomości|549 783 zł|Gdynia, |Cisowa, |ZBOŻOWA|48,10 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.57|28|0|||||||||||||||||||||||||||||||
Opis nieruchomości|551 788 zł|Gdynia, |Cisowa, |ZBOŻOWA|45,86 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.79|31|0|||||||||||||||||||||||||||||||
Opis nieruchomości|553 098 zł|Gdynia, |Cisowa, |ZBOŻOWA|48,39 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.50|22|0|||||||||||||||||||||||||||||||
Opis nieruchomości|554 675 zł|Gdynia, |Cisowa, |ZBOŻOWA|46,10 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.78|26|0|||||||||||||||||||||||||||||||
Opis nieruchomości|558 209 zł|Gdynia, |Cisowa, |ZBOŻOWA|47,58 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.52|33|0|||||||||||||||||||||||||||||||
Opis nieruchomości|559 451 zł|Gdynia, |Cisowa, |ZBOŻOWA|48,10 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.65|22|0|||||||||||||||||||||||||||||||
Opis nieruchomości|562 824 zł|Gdynia, |Cisowa, |ZBOŻOWA|48,39 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.58|22|0|||||||||||||||||||||||||||||||
Opis nieruchomości|564 464 zł|Gdynia, |Cisowa, |ZBOŻOWA|51,18 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.10|23|0|||||||||||||||||||||||||||||||
Opis nieruchomości|569 234 zł|Gdynia, |Cisowa, |ZBOŻOWA|47,31 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.32|25|0|||||||||||||||||||||||||||||||
Opis nieruchomości|577 389 zł|Gdynia, |Cisowa, |ZBOŻOWA|48,39 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.66|25|0|||||||||||||||||||||||||||||||
Opis nieruchomości|Zarezerwowano|Gdynia, |Cisowa, |ZBOŻOWA|51,18 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.26|22|0|||||||||||||||||||||||||||||||
Opis nieruchomości|607 695 zł|Gdynia, |Cisowa, |ZBOŻOWA|48,10 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.81|31|0|||||||||||||||||||||||||||||||
Opis nieruchomości|Zarezerwowano|Gdynia, |Cisowa, |ZBOŻOWA|56,59 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.3|69|0|||||||||||||||||||||||||||||||
Opis nieruchomości|611 359 zł|Gdynia, |Cisowa, |ZBOŻOWA|48,39 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.74|27|0|||||||||||||||||||||||||||||||
Opis nieruchomości|616 680 zł|Gdynia, |Cisowa, |ZBOŻOWA|57,10 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.14|22|0|||||||||||||||||||||||||||||||
Opis nieruchomości|628 100 zł|Gdynia, |Cisowa, |ZBOŻOWA|57,10 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.22|17|0|||||||||||||||||||||||||||||||
Opis nieruchomości|628 149 zł|Gdynia, |Cisowa, |ZBOŻOWA|56,59 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.7|29|0|||||||||||||||||||||||||||||||
Opis nieruchomości|518 569 zł|Gdynia, |Cisowa, |ZBOŻOWA|40,72 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.41|460|36|||||||||||||||||||||||||||||||
Opis nieruchomości|631 203 zł|Gdynia, |Cisowa, |ZBOŻOWA|51,18 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.42|28|0|||||||||||||||||||||||||||||||
Opis nieruchomości|633 808 zł|Gdynia, |Cisowa, |ZBOŻOWA|56,59 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.15|20|0|||||||||||||||||||||||||||||||
Opis nieruchomości|639 520 zł|Gdynia, |Cisowa, |ZBOŻOWA|57,10 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.30|32|0|||||||||||||||||||||||||||||||
Opis nieruchomości|645 126 zł|Gdynia, |Cisowa, |ZBOŻOWA|56,59 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.23|27|0|||||||||||||||||||||||||||||||
